url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description
https://www.rumah123.com/properti/bekasi/hos11360272/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5,"Rumah cantik Sumarecon Bekasi
Lingkungan asri, tenang & nyaman",2990000000.0,Soekarno Hatta,Bekasi,4.0,4.0,239.0,272.0,SHM,4400.0,Bagus,2.0,"Tempat Jemuran, Jalur Telepon, Taman,  Taman"
https://www.rumah123.com/properti/bekasi/hos10680347/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,"Rumah Kekinian, Magenta Summarecon Bekasi",1270000000.0,Harapan Indah,Bekasi,3.0,2.0,55.0,69.0,HGB,2200.0,Bagus,2.0,Taman
https://www.rumah123.com/properti/bekasi/hos10685867/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93,Rumah Cantik 2 Lantai Cluster Bluebell Summarecon Bekasi,1950000000.0,Cibubur,Bekasi,3.0,3.0,119.0,131.0,HGB,2200.0,Bagus,2.0," Jogging Track,  Kolam Renang, Masjid,  Taman, Jalur Telepon,  Keamanan"
https://www.rumah123.com/properti/bekasi/hos10927790/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93,Rumah Mewah 2Lantai L10x18 C di Cluster VERNONIA Summarecon Bekasi..,3300000000.0,Bojong Gede,Bekasi,3.0,3.0,180.0,174.0,SHM,3500.0,Baru,2.0," Jalur Telepon,  Jogging Track, Track Lari,  Kolam Renang, Kolam Renang,  Taman, Taman, CCTV, Jalur Telepon,  Keamanan"
https://www.rumah123.com/properti/bekasi/hos10785530/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15,"Rumah Hoek di Cluster Maple Summarecon Bekasi, Bekasi",4500000000.0,Bojong Sari,Bekasi,4.0,3.0,328.0,196.0,SHM,3500.0,Bagus,2.0," Jogging Track,  Kolam Renang, Taman, Jalur Telepon,  Keamanan"
https://www.rumah123.com/properti/bekasi/hos11177142/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15,"Rumah Siap Huni di Cluster Acasia, Summarecon Bekasi",2700000000.0,Cinere,Bekasi,3.0,3.0,136.0,200.0,SHM,3500.0,Bagus,2.0,"Jalur Telepon, Taman,  Keamanan,  Kolam Renang"
https://www.rumah123.com/properti/bekasi/hos10720117/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,Rumah di Cluster Maple Summarecon Bekasi,2350000000.0,Harapan Indah,Bekasi,2.0,2.0,144.0,144.0,HGB,4400.0,0,2.0,"Keamanan, Kolam Renang"
https://www.rumah123.com/properti/bekasi/hos10753439/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,Rumah Cluster Lotus Summarecon Bekasi,4500000000.0,Jatibening,Bekasi,4.0,4.0,216.0,250.0,HGB,3500.0,0,2.0,"Keamanan, Kolam Renang"
https://www.rumah123.com/properti/bekasi/hos11127849/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,Rumah Cluster Palm Summarecon Bekasi,2900000000.0,Kota Wisata,Bekasi,3.0,3.0,200.0,152.0,SHM,4400.0,0,2.0,Kitchen Set
https://www.rumah123.com/properti/bekasi/hos11169103/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,Rumah Cluster Acacia Summarecon Bekasi,2700000000.0,Cikarang,Bekasi,3.0,3.0,136.0,200.0,SHM,3500.0,0,2.0,"Keamanan 24 jam, Kolam Renang"
https://www.rumah123.com/properti/bekasi/hos10441241/#qid~35c27ac2-b166-4762-83af-d2178576ef1b,Rumah Cluster Magnolia Summarecon Bekasi,2550000000.0,Cinere,Bekasi,3.0,2.0,144.0,186.0,SHM,2200.0,0,2.0,"Keamanan, Kolam Renang"
https://www.rumah123.com/properti/bekasi/hos11322477/#qid~9e4aedac-e432-48b8-bf0d-a6ad052759eb,Rumah Baru Cluster Regia Perumahan Summarecon Crown Gading Bekasi,952000000.0,Sentul City,Bekasi,2.0,2.0,55.0,50.0,Lainnya,2200.0,Baru,2.0," One Gate System,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  CCTV, Taman,  Playground, Wastafel, CCTV"
https://www.rumah123.com/properti/bekasi/hos11062997/#qid~28f37bc1-ecdd-40b0-9d22-cc1f698abc43,"Rumah Murah Siap Huni Di Cluster Palm, Summarecon Bekasi",1800000000.0,Citra Garden,Bekasi,2.0,1.0,119.0,82.0,SHM,2200.0,Baru,2.0," Ac,  Jogging Track,  Kolam Renang,  Taman,  Masjid, CCTV, Jalur Telepon,  Keamanan"
