bedrooms,building_size_m2,bathrooms,carports,price_in_rp,floor_count,url,building_age,city,certificate,electricity_power,land_size_m2,property_condition,district,location,description,title
4,,2,,Rp 100 Juta/tahun,,https://www.rumah123.com/properti/badung/hor39392756/,,Badung,Lainnya,Lainnya,,,Kerobokan,"Kerobokan, Badung","House for Rent with ricefield view

Peaceful neighborhood
Cozy and warm atmosphere
Ideal for relaxing and unwinding
Close to local shops, schools

3 bedrooms (1 rooms with AC)
1 housemaid's room
2 bathrooms with water heater
1 storeroom
Living room
Kitchen
Car Parking
Rice field view
Electricity 3.500.000 watt

5 minutes to Seminyak

3 minutes to Denpasar

Minimal rental : 2 years

Jl. Gunung Salak, Kerobokan, Bali","Rental - House with ricefield view  in Gunung Salak, Kerobokan, Bali"
3,77 m²,2,2,Rp 48 Juta/tahun,2,https://www.rumah123.com/properti/bekasi/hor39334320/,,Bekasi,PPJB,2200 Watt,77 m²,Bagus,Harapan Indah,"Harapan Indah, Bekasi","EC0301R-Rumah Disewakan
Cluster Regia
Summarecon Crown Gading

Luas tanah          : 77m2 (7x11)
Luas bangunan  : 77m2
Hadap                  : Selatan
Posisi                   : Badan
Jumlah lantai     : 2
Kamar tidur        : 3
Kamar mandi     : 2
Carport               : 2
Listrik                  : 2.200 watt
Air                        : PAM

Harga sewa        : 48 juta/tahun
IPL		: 553rb/bulan",Rumah Disewakan Cluster Regia Summarecon Crown Gading (EC0301R)
3,84 m²,2,1,Rp 55 Juta/tahun,2,https://www.rumah123.com/properti/bandung/hor39412747/,,Bandung,SHM,2200 Watt,90 m²,Bagus,Summarecon Bandung,"Summarecon Bandung, Bandung","DISEWAKAN RUMAH DI SUMMARECON (CLUSTER FLORA)


Luas Tanah :  90 m22
Luas Bangunan : 84 m2
Jumlah Lantai : 2
Kamar Tidur : 3
Kamar Mandi : 2
Listrik :  2200 W
Air : pdam
Hadap : Selatan 
Fasilitas : unfurnished 
Carport :  tersedia 
IPL : 500-700rb/bulan

HARGA Sewa: 55jt  /thn

SennyFame
082120023xxx",Disewakan Rumah 2 Lantai Nyaman Siap Huni Lokasi di Summarecon Cluster Flora Bandung
4,142 m²,4,2,Rp 70 Juta/tahun,2,https://www.rumah123.com/properti/bekasi/hor19270420/,,Bekasi,Lainnya,2200 Watt,136 m²,,Harapan Mulya,"Harapan Mulya, Bekasi","Rumah bergaya minimalist modern di Harapan Mulya.

Miliki rumah 2 lantai yang modern ini,  disewakan dengan pemandangan indah yang menambah nilai estetika di lingkungan hunian. Rumah ini berada di wilayah perumahan/komplek serta menghadirkan lingkungan fasilitas yang lengkap, cocok untuk Anda yang menginginkan hunian nyaman.

Spesifikasi Utama Properti:

  - Kamar Tidur: 4
  - Kamar Mandi: 4
  - Sertifikat: -
  - Daya Listrik: 2200 W
  - Kondisi Perabotan: Unfurnished

Dilengkapi dengan:

  - Keamanan 24 jam.
  - Kolam Renang.
  - CCTV.
  - Akses Parkir.
  - One Gate System.
  - Taman.
  - Tempat Jemuran.
  - Taman.
  - Jalur Telepon.
  - Lapangan Basket.

Fitur unggulan:

  - Siap Huni.
  - Bebas Banjir.
  - Dekat Akses KRL.
  - Dekat Akses Transjakarta.
  - Dekat Akses Bus Kota.
  - Dekat Akses MRT.
  - Dekat Akses LRT.
  - Dekat Pusat Perbelanjaan.
  - Dekat Akses Bandara.
  - Dekat Sekolah Internasional.
  - Dekat Sekolah Negeri.
  - Dekat Universitas.
  - Dekat Tempat Ibadah.
  - Dekat Taman Kota.
  - Dekat Landmark.

Terletak di Harapan Mulya, rumah ini memberikan kemudahan akses ke berbagai fasilitas menarik.

Dengan harga Rp. 70,000,000, anda bisa memiliki hunian premium yang sudah siap huni. Ambil kesempatan untuk menikmati investasi di kawasan Harapan Mulya yang nyaman ini!

Kontak segera untuk informasi lebih lanjut!



                                                                                                                          * YLTI *",Rumah hook disewakan di sumarecon bekasi
4,566 m²,4,2,Rp 85 Juta per bulan,2,https://www.rumah123.com/properti/jakarta-selatan/hor10215862/,,Jakarta Selatan,SHM,24000 Watt,624 m²,,Kebayoran Baru,"Kebayoran Baru, Jakarta Selatan","Lokasi nyaman dan Asri area prrmium Brawijaya, Kebayoran baru.Dekat dg The Dharmawangsa Residemt.

Harga 85 jt /bulan.. Nego",Rumah mewah Area premium Brawijaya. Kebayoran Baru
,26 m²,,,Rp 250 Juta/tahun,1,https://www.rumah123.com/properti/biak-numfor/hor39263810/,,Biak Numfor,Lainnya,Lainnya,250 m²,,Biak Barat,"Biak Barat, Biak Numfor",Bdbsbsbdnbsbsbsbsbsbbdbd,Rumah Di Biak Barat Test Nsnsnsns
3,120 m²,3,1,Rp 75 Juta/tahun,2,https://www.rumah123.com/properti/bandung/hor19428022/,,Bandung,SHM,Lainnya,81 m²,Bagus,Buah Batu,"Buah Batu, Bandung","Dijual & Disewakan

Rumah Cantik Full Furnished di Buah Batu Square 

LT 81m
LB 120m
2 1/4 lantai
KT 3
KM 3
SHM
Listrik 2200
Air Sible
Ada Kolam Ikan
kanopi 

Jual 1,69 M Nego
Sewa 75jt 

felia #SAP
08122134xxx

FRE",Sewa Rumah Cantik Full Furnished 3 Kamar 2 Lantai Di Buah Batu Square
3,90 m²,2,1,Rp 85 Juta/tahun,2,https://www.rumah123.com/properti/denpasar/hor39250857/,,Denpasar,SHM,2200 Watt,100 m²,Bagus,Denpasar Timur,"Denpasar Timur, Denpasar","Rumah Disewa Denpasar di sewakan rumah di jl Tukad citarum 
spesifikasi :
Spesifikasi :

Lantai : 2
Luas tanah : 100 m2
Luas bangunan : 90 m2
kamar tidur : 3
kamar mandi : 2
daya listrik : 2200
jenis air : PDAM
rumah menghadap : utara
garasi : 1 mobil city car
akses jalan : 8 meter aspal hotmix
kondisi : non-furnished
sertifikat : SHM
IMB : ada
minimal waktu sewa : 1 tahun
harga sewa : 85.000.000/ tahun nett",HUNIAN PREMIUM YG NYAMAN DI JL TUKAD CITARUM
5,300 m²,5,2,Rp 125 Juta/tahun,2,https://www.rumah123.com/properti/cirebon/hor19587092/,,Cirebon,SHM,5500 Watt,178 m²,Bagus,Cirebon Kota,"Cirebon Kota, Cirebon","FOR RENT/ FOR SELL
Rumah FULL FURNISHED di pegambiran residence Cirebon 

Luas tanah: 178 m²
Luas bangunan: 300 m²
Lebar muka: +- 8 m
Kamar tidur: 4
Kamar Asisten : 1
Kamar mandi: 5
AC: 5
Listrik: 5.500 w
Air: Pdam
Carport: 2

Note: 
FULL FURNISHED 
Dekat Grage City Mall
Lingkungan nyaman dan aman
BEBAS BANJIR

HARGA SEWA RP 125.000.xxx/ TAHUN NEGO
SEWA MIN 2 TAHUN

HARGA JUAL RP 3.800.000.xxx NEGO

More info;
WILLY 
0811201xxx",Dijual/ Disewakan Rumah Di Pegambiran Residence Cirebon
4,275 m²,4,2,Rp 225 Juta/tahun,2,https://www.rumah123.com/properti/bandung-barat/hor39270436/,,Bandung Barat,SHM,4400 Watt,350 m²,Bagus,Padalarang,"Padalarang, Bandung Barat","Rumah Mewah di KBP padalarang
siap masuk, siap.pakai
sangat bagus 
Lt 350 lb 275 2 lantai
hadap selatan
Ruang keluarga 2
dapur bersih 2
Tv 2
ac 5
mc cuci
kulkas
springbed
kamar tidur 4 +1
Km mandi 4 +1

RP 225 JUTA",Rumah.mewah Di.kbp.padalarang Dengan.furnish.lengkap Siap.masuk.disewakan.cepat
