bathrooms,land_size_m2,building_age,electricity_power,district,location,description,city,certificate,url,bedrooms,property_condition,price_in_rp,building_size_m2,title,carports,floor_count
4,670 m²,,3500 Watt,Kuta Selatan,"Kuta Selatan, Badung","Luas Tanah 670m2
Luas Bangungan 450m2
Hadap Timur
Listrik 3500 watts
PDAM
Kamar Mandi 4
Kamar Tidur 4
Kolam Renang

Harga Sewa 400 Juta /Tahun
Minimal Sewa 2 Tahun",Badung,SHM,https://www.rumah123.com/properti/badung/hor18584483/,4,Renovasi Minimum,Rp 400 Juta/tahun,450 m²,Disewakan Villa Di Pecatu Bali,1,
3,100 m²,,2200 Watt,Buah Batu,"Buah Batu, Bandung","DISEWA RUMAH SEMIFURNISHED KOMPLEK CHERRY FIELD BUAHBATU

LT. 100
LB.135
2lt
KT.3+1
KM.3
Air PDAM + Jetpump
Carport 1
Listrik 2200W

Furnish:
R. Tamu (sofa meja + rak buku)
Dapur ( rak + kompor gas + oven + kulkas + microwave )
K. Anak (2 bed)
K. Utama (1bed queen size + meja + rak)

HARGA 75jt/th
Exclude IPL, PDAM


NVI TVS",Bandung,SHM,https://www.rumah123.com/properti/bandung/hor38892209/,3,Bagus,Rp 75 Juta/tahun,135 m²,RUMAH KEREN MINIMALIS MODERN SEMI FURNISHED SIAP HUNI DI CHERRY FIELD BANDUNG,1,2
3,200 m²,,Lainnya,Green Lake City,"Green Lake City, Jakarta Barat","Deskripsi
Green Lake City merupakan kawasan hunian terpadu persembahan salah satu pengembang terbesar di Indonesia, Agung Sedayu Group. Perumahan di Tangerang ini berupa proyek mixed-use dimana kawasan hunian dipadukan dengan fasilitas penunjang seperti area komersial yang terintegrasi di dalam kawasannya. Konsep kawasan hunian mixed-use seperti ini mempermudah Anda untuk menjangkau fasilitas komersial untuk memenuhi kebutuhan. Bagi Anda yang sedang mencari ruko untuk berbisnis, kawasan terpadu seperti ini juga sama-sama menguntungkan, karena memiliki pasar yang jelas, yakni warga di kawasan hunian tersebut.
 
Green Lake City berlokasi di kawasan barat Jakarta yang tumbuh dengan pesat, memberikan lokasi yang strategis untuk hunian maupun tempat usaha. Rancangan utama Green Lake City memanfaatkan pengelolaan air yang ada untuk menciptakan sebuah laguna cantik di pusat kawasannya. Laguna perumahan Jakarta Barat ini terhubung pula ke komunitas dan kawasan di sekitarnya, menyajikan kawasan hiburan dan rekreasi dengan konsep segar waterfront. Laguna Green Lake City merupakan area ritel dan kawasan komersial yang berpadu dengan pas dengan kawasan residensial.",Jakarta Barat,SHM,https://www.rumah123.com/properti/jakarta-barat/hor39420113/,3,Bagus,Rp 120 Juta/tahun,239 m²,Disewakan Rumah Full Bangunan 3lt Murahhh,,3
2,120 m²,,Lainnya,Lippo Cikarang,"Lippo Cikarang, Cikarang","Rumah cantik dan hommy, baru renovasi, kondisi siap masuk, aman, nyaman ,terang dan sirkulasi udara yang sangat baik sangat cocok buat expateiate",Cikarang,HGB,https://www.rumah123.com/properti/cikarang/hor39099338/,2,Sudah Renovasi,Rp 85 Juta/tahun,110 m²,Rumah Cantik.di.lippo.cikarang.disewakan.segera Rumah,3,1
4,410 m²,,23000 Watt,Cipete,"Cipete, Jakarta Selatan","*[FOR RENT ; CIPETE] : Modern  House at CIPETE Jakarta Selatan.*
_________________________________________ 

*SPESIFIKASI:* 

• Luas Tanah : 410 m²
• Luas Bangunan : 430 m²
• Kamar Tidur :  4
• Ruang Kerja : 1
• Ruang Tamu : 1
• Ruang Keluarga : 1
• Kamar Mandi:  4
• Dapur Bersih : 1
• Dapur Kotor : 1
• Kamar ART :  2
• Kamar Mandi ART : 1
• Garasi Mobil : 2.
__________________________________________ 

*FASILITAS:* 

• Wardrobe in Every Bedroom 
• Kitchen Set Cabinet 
• Private Swimming Pool
• Gas Stove & Oven
• Cooker Hood
• Refrigerator
• Listrik 23.000 WATT
• Water Filter
• Solar Water Heater.
__________________________________________
*HARGA:* 

• $ 4.800/mth (negotiable)
☆Showing Available : PIERE 08567155xxx",Jakarta Selatan,SHM,https://www.rumah123.com/properti/jakarta-selatan/hor17508961/,4,Bagus,Rp 80 Juta per bulan,430 m²,For Rent Rumah 2 Lantai + Swimming Pool Di Cipete Jakarta Selatan,2,2
3,390 m²,,4400 Watt,Pajajaran,"Pajajaran, Bandung","DiJual Cepat
Rumah Sayap Pajajaran. 
Tengah Kota Masuk Mobil
luas 390 m2 lb ±300 kamar 4 +1 kamar mandi 3 +1 Carpot 1
Lmuka 13m2
Air Pdam
listrik 2 x 2200 watt
SHM
hrg 3.2 M Nego tipis
90 jt per thn

Hub:
Tinneke
 085793001xxx",Bandung,SHM,https://www.rumah123.com/properti/bandung/hor16822330/,4,Bagus,Rp 90 Juta per tahun,300 m²,Rumah Terawat Masuk Mobil di Sayap Pajajaran Bandung Tengah Kota,1,1
2,90 m²,,2200 Watt,Taman Kopo Indah,"Taman Kopo Indah, Bandung","Sewa Rumah Minimalis Siap Huni di Cluster Taman Kopo Indah 1 

One Gate System
Lt 90m2
Lb 72m2
Kt 3
km 2
Kamar Utama ada wc dalam 
Ada Kitchen Set + CookerHood
1bh AC 1 unit
Listrik 2200watt
Air Artesis

Harga sewa 
38jt/thn 
Prefer 2 thn 

YSW",Bandung,SHM,https://www.rumah123.com/properti/bandung/hor39403279/,3,Bagus,Rp 38 Juta/tahun,72 m²,Sewa Rumah Minimalis Siap Huni di Cluster Taman Kopo Indah 1,1,1
1,90 m²,,Lainnya,Cengkareng,"Cengkareng, Jakarta Barat","Cengkareng Indah
6x15
1 lantai
2 kamar tidur
bebas banjir",Jakarta Barat,SHM,https://www.rumah123.com/properti/jakarta-barat/hor39359810/,2,Bagus,Rp 45 Juta/tahun,90 m²,Cengkareng Indah Bebas Banjir Dan Rapih.,1,1
3,150 m²,,Lainnya,Kerobokan,"Kerobokan, Badung","CM816 Sewa villa bumbak umalas kerobokan kuta badung bali dekat canggu denpasar seminyak 
Terdapat:
- 2 kamar 
- lobby
- 3 AC 
- 3 kamar mandi
- sudah berisikan kolam berenang
- sower sudah air panas
- sudah tersedia dapur 
- full furniture 
Price 270 million/ year
- Luas bangunan
90m²
- Luas tanah 
1/5 Are

Villa full furniture",Badung,SHM,https://www.rumah123.com/properti/badung/hor39018901/,2,Bagus,Rp 270 Juta/tahun,90 m²,Cm816 Sewa Villa Bumbak Umalas Kerobokan Kuta Badung Bali Dekat Canggu Denpasar Seminyak,,1
2,108 m²,,1300 Watt,Antapani,"Antapani, Bandung","Disewakan rumah 2 Lantai, Full Furnished. di Antapani Bandung. 

Area strategis dekat sekolahan, dekat taman kota, pusat perbelanjaan, pusat kuliner, perkantoran, Rumah Sakit, klinik

Spesifikasi Unit :
LT : 108 M2
LB : 90 M2
KT : 3
KM : 2
Air : Arthesis Komplek
Listrik : 1300 Watt
Carport : 2 Mobil

Furnished :
- 1 Set Sofa 
- 1 Bed King Size 
- 1 Double Single Bed
- Meja Makan
- Cabinet TV
- Kitchen Set + Kompor 

Harga Sewa / Tahun : 55 Juta ( Nego ) 
Minimal Masa Sewa : 1 Tahun
Deposit : 3 Juta

akses : 
- Superindo
- Terminal Cicaheum
- Pasar Cicaheum
- Toserba Borma
- Klinik Utama Medika Antapani
- Sekolah Muhammadiyah Bandung
- RSIA Graha Bunda
- English Course ‘EF’
- Tempat bimbel Ganesha Operation
- SMPN 49 Bandung
- Sekolah Mutiara Bunda
- SMAN 23 Bandung
- SPBU Pertamina
- Kiara Artha Park 

Hubungi :
Elsa 
0821-3000-3xxx",Bandung,SHM,https://www.rumah123.com/properti/bandung/hor39173639/,3,Bagus,Rp 55 Juta/tahun,90 m²,Disewakan Rumah 2 Lantai Luas 108 M2. 3 Kamar Tidur Full Furnished Siap Huni. Di Antapani Bandung,2,2
