,url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description,market_price_2025,market_price_2023,rent_price_per_year_2025,NOI,cap_rate,property_value_growth,NPV
2986,https://www.rumah123.com/properti/jakarta-utara/hos39343015/,HARGA MIRING!!! RUMAH JANUR ELOK 11X17 BAGUS,5000000000.0,Kelapa Gading,Jakarta Utara,4.0,4.0,187.0,300.0,SHM,0.0,Bagus,2.0,"MURMERR!!! Dijual Rumah 2 lantai di Janur Elok, Kelapa Gading. Harga miring nego sampai jadi.

Spesifikasi:
LT 11x17
LB 300
2 lantai
KT 3+1
KM 3+1
Listrik 4400 watt
SHM 

Harga = 5 Milyar. Nego
Bisa KPR (dibantu sampai goal)

Terima titip jual dan sewa Rumah/Ruko/Apartemen/Gudang/tanah sekitar Kelapa Gading dan Sunter.

Jika berminat hub:
Ronald
081281104xxx (WA) 
081905511xxx",5.472369e+09,5.518383e+09,1.6218794e+08,1.1353155e+08,2.27063104,-0.0041778684,-2951470564.5584497
3628,https://www.rumah123.com/properti/bekasi/hos39381197/,Jual Rumah Baru Subsidi Pemerintah Di Bekasi Mulia Residence,185000000.0,Cibarusah,Bekasi,2.0,1.0,60.0,30.0,HGB,1300.0,Bagus,1.0,"Aman , strategis , siap huni, bebas banjir",5.0646554e+08,3.4528333e+08,2.8782212e+07,2.0147548e+07,10.890566486486486,0.21111989,334768312.84999937
5231,https://www.rumah123.com/properti/tangerang/hos39458192/,"Alam Sutera, Tangerang,  Dijual rumah asri bernuansa Bali Villa",7900000000.0,Alam Sutera,Tangerang,4.0,4.0,300.0,400.0,SHM,0.0,Renovasi Minimum,2.0,"Dijual rumah asri bernuansa bali villa di sutera magnolia - alam sutera

lt 300
lb 400
Swimming pool
listrik 7700
kamar 4+1
km 3+2
pam
shm
Posisi tusuk sate sebagian
Harga 7,9M nego 

Hub: silvi gpss
085215751xxx",7.0826496e+09,5.4680494e+09,1.8016922e+08,1.2611845e+08,1.5964360506329114,0.13810325,3426966737.730583
4617,https://www.rumah123.com/properti/jakarta-utara/hos19292390/,Rumah Pik 2lt Furnish Metric Siap Huni Djual Termurah,3500000000.0,Golf Island,Jakarta Utara,2.0,2.0,90.0,75.0,Hak Pakai,0.0,Bagus,2.0,"*For Sale* 
bawa koper aja
Rumah Gold island 
6x15 
Furnish full
All METRIC brand

3.5M



Cathy 
08121858xxx",2.2866202e+09,1.4364212e+09,7.6903064e+07,5.3832144e+07,1.5380612571428571,0.26170003,10389147817.731064
6258,https://www.rumah123.com/properti/jakarta-barat/hos18425018/,Dijual Rumah Bagus Di Taman Surya 5,5000000000.0,Taman Surya,Jakarta Barat,5.0,5.0,216.0,660.0,SHM,11000.0,Bagus,1.0,"Turun Harga !!! 

Dijual Rumah Taman Surya 5 
Kondisi bagus
LT 12x18 216m2
LB +- 660m2
5+1 Kamar Tidur ( Semua Kamar Mandi Dalam )
5+1 Kamar Mandi
SHM
Semi Furnished
Air Pam
Listrik 11.000 Watt",6.7051935e+09,5.240979e+09,1.878204e+08,1.3147428e+08,2.6294855999999998,0.131096,1838948306.929988
2166,https://www.rumah123.com/properti/tangerang/hos18963072/,Murah Savia Bsd Siap Huni murah 1.7 an,1750000000.0,BSD,Tangerang,3.0,2.0,84.0,87.0,SHM,2200.0,Bagus,2.0,"Dijual cepat banget banget

The Savia (Cluster Visana) BSD
2 lantai, 3KT / 2KM
LT: 84m2 (7m x 12m)
LB: 87m2
Hadap Selatan
Listrik 2200
Include AC 3 unit
Renovasi hanya kanopi dan taman belakang
Sudah SHM
Harga: 1.75M nego

Grace
GP Alsut
081285949xxx",1.3604381e+09,1.6245521e+09,5.8361548e+07,4.0853084e+07,2.3344619428571427,-0.0848915,-1400217986.904444
3113,https://www.rumah123.com/properti/bekasi/hos19594553/,Rumah Free Renovasi 6 menit ke Summarecon Mall Bekasi Bebas Banjir J26469,1610000000.0,Summarecon Bekasi,Bekasi,4.0,4.0,120.0,120.0,SHM,4400.0,Bagus,2.0,"Springville Residence
Bekasi Timur - Kota Bekasi

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 120
LB 120
2 Lantai
4 Kamar Tidur
4 Kamar Mandi
Listrik 4400 VA
Sumber Air Tanah
Hadap Utara

Fasilitas Sekitar Hunian:
4 menit ke SDN Duren Jaya VII

4 menit ke SDN Duren Jaya 2

5 menit ke SDN Duren Jaya IX

5 menit ke SD Cenderawasih Jaya

6 menit ke SMP PGRI 1 Bekasi

7 menit ke SMP NEGERI 56 BEKASI

7 menit ke SMA KORPRI BEKASI

9 menit ke SMA Muhammadiyah 9 Bekasi

4 menit ke Ramayana Bekasi Pratama

5 menit ke Plaza Terminal Bekasi

6 menit ke Summarecon Mall Bekasi

3 menit ke Rumah Sakit Bella Bekasi

6 menit ke Puskesmas Duren Jaya

7 menit ke RS Mekar Sari

8 menit ke Puskesmas Karang Kitri

9 menit ke Rumah Sakit Siloam Sentosa

10 menit ke Puskesmas Aren Jaya

6 menit ke Terminal Bekasi

8 menit ke Stasiun Bekasi Timur

10 menit ke Gerbang Tol Marga Jaya 2

10 menit ke Tol Bekasi Timur 2

10 menit ke Tol Bekasi Timur 1

15 menit ke Gerbang Tol Bekasi Barat 1

15 menit ke Gerbang Tol Bekasi Barat 2



hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1.9990986e+09,2.3087823e+09,9.08202e+07,6.357414e+07,3.948704347826087,-0.06948024,-1195985505.7786677
5309,https://www.rumah123.com/properti/tangerang/hos39156350/,Di Jual Murah Rumah 3 Lantai 9x16 Eonna Bsd,8000000000.0,BSD,Tangerang,5.0,4.0,193.0,255.0,Lainnya,4400.0,Bagus,3.0,"DIJUAL CEPAT EONNA HOEK & SEBRANGNYA TEMBOK DAN TAMAN

Bangunan 3 lantai L 9
LT 193 m2 ( 9 x 16 )
LB 255 m2
KT 5 + 1
KM 4 + 1
Hadap Selatan
Ppjb blm siap ajb 
( OS Rp 5man Danamon )
Listrik 4400 watt
Ipl  Rp 1.9 jt
Carport 2 mbl + garasi 1 mbl

Harga Rp 8 m nego",4.87134e+09,4.3291735e+09,2.2920859e+08,1.6044602e+08,2.0055752,0.060771227,-2153647516.613408
6534,https://www.rumah123.com/properti/depok/hos39418708/,Rumah Siap Huni Semi Furnish Di Green Andara Residence Depok,5500000000.0,Depok I,Depok,5.0,4.0,155.0,140.0,SHM,0.0,Bagus,2.0,"FOR SALE RUMAH SAMPING TOL ANDARA. (Green Andara Residences) DEPOK

Kondisi Rumah : 
-Secondary house
-Siap huni
-Design Rumah : Modern
-Semi Furnished 

Fasilitas Rumah : 
Halaman belakang, Halaman samping (besar), sanitary TOTO, AC 2 unit, Ruang Tamu, Ruang keluarga, Dry Kitchen, Gudang, Service Area

Spesifikasi Unit :
Luas Tanah : 155m2 (8 x 19.5m) 
Luas Bangunan : 140 m2
Bangunan 2 Lantai
4 + 1 Kamar tidur 
3 + 1 Kamar mandi 
Carport : 2 mobil
Legalitas SHM IMB 
Listrik : 5500 watt
Posisi Rumah : Kuldesak
Hadap Utara
Bangunan tahun 2012

Fasilitas Umum : 
Club House, Mesjid, Indomaret, ballroom.
KR:Msis

Harga : Rp 5 Miliar Nego by Owner",1.7045272e+09,2.0682138e+09,9.101286e+07,6.3709004e+07,1.1583455272727272,-0.092170596,-4581585219.242644
4393,https://www.rumah123.com/properti/jakarta-timur/hos39310420/,Rumah Luas Siap Huni 15 Menit ke Metropolitan Mall Cibubur Hadap Utara  J-16885,1220000000.0,Cibubur,Jakarta Timur,3.0,3.0,168.0,200.0,SHM,1300.0,Bagus,2.0,"Limus Pratama Regency
Cileungsi - Kabupaten Bogor

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 168
LB 200
2 Lantai
3 Kamar Tidur
3 Kamar Mandi
Listrik 1300 VA
Sumber Air PDAM
Hadap Utara

Fasilitas Sekitar Hunian:
8 menit ke SMA Negeri 15 Bekasi
9 menit ke SMPN 31 Kota Bekasi
12 menit ke Abata Preschool
13 menit ke Teruna Muda Elementary
17 menit ke BPK Penabur Kota Wisata
18 menit ke SDN Ciangsana 05

16 menit ke Metropolitan Mall Cibubur
19 menit ke MALL CILEUNGSI TRADE CENTER
20 menit ke Pasar Cileungsi
28 menit ke Mall Ciputra Cibubur
30 menit ke Cibubur Junction
31 menit ke Pasar Kranggan

15 menit ke Rumah Sakit Umum Mary Cileungsi
17 menit ke Puskesmas Cileungsi
23 menit ke RS Satria Medika
24 menit ke UPTD Puskesmas Mustikasari
26 menit ke Puskesmas Jatiasih
30 menit ke RS. Rawa Lumbu
32 menit ke Rumah Sakit Puspa Husada

19 menit ke Terminal Cileungsi 1
25 menit ke Gerbang TOL Burangkeng
26 menit ke Gerbang Tol Cimanggis 2
29 menit ke Stasiun LRT Harjamukti
30 menit ke Gerbang Tol Cibubur 2
32 menit ke Gerbang Tol Cimanggis 3

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",1.9934785e+09,2.242316e+09,7.554663e+07,5.288264e+07,4.3346426229508195,-0.05711794,-865688903.7606473
